,name,img,type,moves
22,ekans,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,['poison'],"['bind', 'slam', 'headbutt', 'body-slam', 'wrap']"
23,arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,['poison'],"['bind', 'slam', 'headbutt', 'body-slam', 'wrap']"
24,pikachu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,['electric'],"['mega-punch', 'pay-day', 'thunder-punch', 'slam', 'double-kick']"
25,raichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,['electric'],"['mega-punch', 'pay-day', 'thunder-punch', 'slam', 'mega-kick']"
26,sandshrew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,['ground'],"['scratch', 'swords-dance', 'cut', 'sand-attack', 'headbutt']"
27,sandslash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,['ground'],"['scratch', 'swords-dance', 'cut', 'sand-attack', 'headbutt']"
28,nidoran,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,['poison'],"['scratch', 'cut', 'double-kick', 'headbutt', 'tackle']"
29,nidorina,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,['poison'],"['scratch', 'cut', 'double-kick', 'headbutt', 'horn-drill']"
30,nidoqueen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,"['poison', 'ground']","['mega-punch', 'pay-day', 'fire-punch', 'ice-punch', 'thunder-punch']"
31,nidoran,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,['poison'],"['cut', 'double-kick', 'headbutt', 'horn-attack', 'fury-attack']"
32,nidorino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,['poison'],"['cut', 'double-kick', 'headbutt', 'horn-attack', 'fury-attack']"
33,nidoking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,"['poison', 'ground']","['mega-punch', 'pay-day', 'fire-punch', 'ice-punch', 'thunder-punch']"
34,clefairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,['fairy'],"['pound', 'double-slap', 'mega-punch', 'fire-punch', 'ice-punch']"
35,clefable,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,['fairy'],"['pound', 'double-slap', 'mega-punch', 'fire-punch', 'ice-punch']"
36,vulpix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,['fire'],"['headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge']"
37,ninetales,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,['fire'],"['headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge']"
38,jigglypuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,"['normal', 'fairy']","['pound', 'double-slap', 'mega-punch', 'fire-punch', 'ice-punch']"
39,wigglytuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,"['normal', 'fairy']","['pound', 'double-slap', 'mega-punch', 'fire-punch', 'ice-punch']"
40,zubat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,"['poison', 'flying']","['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly']"
41,golbat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,"['poison', 'flying']","['razor-wind', 'wing-attack', 'whirlwind', 'fly', 'headbutt']"
42,oddish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,"['grass', 'poison']","['swords-dance', 'cut', 'headbutt', 'take-down', 'double-edge']"
43,gloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,"['grass', 'poison']","['swords-dance', 'cut', 'headbutt', 'take-down', 'double-edge']"
44,vileplume,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,"['grass', 'poison']","['swords-dance', 'cut', 'headbutt', 'body-slam', 'take-down']"
45,paras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,"['bug', 'grass']","['scratch', 'swords-dance', 'cut', 'headbutt', 'body-slam']"
46,parasect,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,"['bug', 'grass']","['scratch', 'swords-dance', 'cut', 'headbutt', 'body-slam']"
47,venonat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,"['bug', 'poison']","['headbutt', 'tackle', 'take-down', 'double-edge', 'supersonic']"
48,venomoth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,"['bug', 'poison']","['razor-wind', 'gust', 'whirlwind', 'headbutt', 'tackle']"
49,diglett,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,['ground'],"['scratch', 'swords-dance', 'cut', 'sand-attack', 'headbutt']"
50,dugtrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,['ground'],"['scratch', 'swords-dance', 'cut', 'sand-attack', 'headbutt']"
51,meowth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,['normal'],"['pay-day', 'scratch', 'cut', 'headbutt', 'body-slam']"
52,persian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,['normal'],"['pay-day', 'scratch', 'cut', 'headbutt', 'body-slam']"
53,psyduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,['water'],"['mega-punch', 'pay-day', 'ice-punch', 'scratch', 'mega-kick']"
54,golduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,['water'],"['mega-punch', 'pay-day', 'ice-punch', 'scratch', 'mega-kick']"
55,mankey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,['fighting'],"['karate-chop', 'mega-punch', 'pay-day', 'fire-punch', 'ice-punch']"
56,primeape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,['fighting'],"['karate-chop', 'mega-punch', 'pay-day', 'fire-punch', 'ice-punch']"
57,growlithe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,['fire'],"['double-kick', 'headbutt', 'body-slam', 'take-down', 'thrash']"
58,arcanine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,['fire'],"['headbutt', 'body-slam', 'take-down', 'double-edge', 'leer']"
59,poliwag,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,['water'],"['pound', 'double-slap', 'headbutt', 'body-slam', 'take-down']"
60,poliwhirl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,['water'],"['pound', 'double-slap', 'mega-punch', 'ice-punch', 'mega-kick']"
61,poliwrath,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,"['water', 'fighting']","['pound', 'double-slap', 'mega-punch', 'ice-punch', 'mega-kick']"
62,abra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,['psychic'],"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick']"
63,kadabra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,['psychic'],"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick']"
64,alakazam,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,['psychic'],"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick']"
65,machop,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,['fighting'],"['karate-chop', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch']"
66,machoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,['fighting'],"['karate-chop', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch']"
67,machamp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,['fighting'],"['karate-chop', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch']"
68,bellsprout,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,"['grass', 'poison']","['swords-dance', 'cut', 'bind', 'slam', 'vine-whip']"
69,weepinbell,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,"['grass', 'poison']","['swords-dance', 'cut', 'bind', 'slam', 'vine-whip']"
70,victreebel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,"['grass', 'poison']","['swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt']"
71,tentacool,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,"['water', 'poison']","['swords-dance', 'cut', 'bind', 'headbutt', 'wrap']"
72,tentacruel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,"['water', 'poison']","['swords-dance', 'cut', 'bind', 'headbutt', 'wrap']"
73,geodude,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,"['rock', 'ground']","['mega-punch', 'fire-punch', 'thunder-punch', 'sand-attack', 'headbutt']"
74,graveler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,"['rock', 'ground']","['mega-punch', 'fire-punch', 'thunder-punch', 'sand-attack', 'headbutt']"
75,golem,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,"['rock', 'ground']","['mega-punch', 'fire-punch', 'thunder-punch', 'mega-kick', 'sand-attack']"
76,ponyta,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,['fire'],"['stomp', 'double-kick', 'headbutt', 'horn-drill', 'tackle']"
77,rapidash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,['fire'],"['pay-day', 'swords-dance', 'stomp', 'double-kick', 'headbutt']"
78,slowpoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,"['water', 'psychic']","['pay-day', 'stomp', 'headbutt', 'tackle', 'body-slam']"
79,slowbro,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,"['water', 'psychic']","['mega-punch', 'pay-day', 'ice-punch', 'stomp', 'mega-kick']"
80,magnemite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,"['electric', 'steel']","['headbutt', 'tackle', 'take-down', 'double-edge', 'supersonic']"
81,magneton,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png,"['electric', 'steel']","['headbutt', 'tackle', 'take-down', 'double-edge', 'supersonic']"
82,farfetchd,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png,"['normal', 'flying']","['razor-wind', 'swords-dance', 'cut', 'gust', 'whirlwind']"
83,doduo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png,"['normal', 'flying']","['swords-dance', 'whirlwind', 'fly', 'jump-kick', 'headbutt']"
84,dodrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png,"['normal', 'flying']","['swords-dance', 'whirlwind', 'fly', 'jump-kick', 'headbutt']"
85,seel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png,['water'],"['pay-day', 'slam', 'headbutt', 'horn-drill', 'body-slam']"
86,dewgong,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png,"['water', 'ice']","['pay-day', 'headbutt', 'horn-drill', 'body-slam', 'take-down']"
87,grimer,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png,['poison'],"['pound', 'fire-punch', 'ice-punch', 'thunder-punch', 'headbutt']"
88,muk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png,['poison'],"['pound', 'fire-punch', 'ice-punch', 'thunder-punch', 'headbutt']"
89,shellder,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png,['water'],"['headbutt', 'tackle', 'take-down', 'double-edge', 'twineedle']"
90,cloyster,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png,"['water', 'ice']","['headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge']"
91,gastly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png,"['ghost', 'poison']","['fire-punch', 'ice-punch', 'thunder-punch', 'headbutt', 'disable']"
92,haunter,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png,"['ghost', 'poison']","['fire-punch', 'ice-punch', 'thunder-punch', 'headbutt', 'mega-drain']"
93,gengar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png,"['ghost', 'poison']","['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick']"
94,onix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png,"['rock', 'ground']","['bind', 'slam', 'headbutt', 'tackle', 'body-slam']"
95,drowzee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png,['psychic'],"['pound', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch']"
96,hypno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png,['psychic'],"['pound', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch']"
97,krabby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png,['water'],"['vice-grip', 'guillotine', 'swords-dance', 'cut', 'slam']"
98,kingler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png,['water'],"['vice-grip', 'guillotine', 'swords-dance', 'cut', 'slam']"
99,voltorb,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png,['electric'],"['headbutt', 'tackle', 'take-down', 'sonic-boom', 'thunder-shock']"
100,electrode,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png,['electric'],"['headbutt', 'tackle', 'take-down', 'sonic-boom', 'hyper-beam']"
101,exeggcute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png,"['grass', 'psychic']","['swords-dance', 'headbutt', 'take-down', 'double-edge', 'psybeam']"
102,exeggutor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png,"['grass', 'psychic']","['swords-dance', 'stomp', 'headbutt', 'take-down', 'double-edge']"
103,cubone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png,['ground'],"['mega-punch', 'fire-punch', 'thunder-punch', 'swords-dance', 'double-kick']"
104,marowak,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png,['ground'],"['mega-punch', 'fire-punch', 'thunder-punch', 'swords-dance', 'mega-kick']"
105,hitmonlee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png,['fighting'],"['mega-punch', 'double-kick', 'mega-kick', 'jump-kick', 'rolling-kick']"
106,hitmonchan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png,['fighting'],"['comet-punch', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch']"
107,lickitung,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png,['normal'],"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'swords-dance']"
108,koffing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png,['poison'],"['headbutt', 'tackle', 'flamethrower', 'psybeam', 'thunderbolt']"
109,weezing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png,['poison'],"['headbutt', 'tackle', 'flamethrower', 'psybeam', 'hyper-beam']"
110,rhyhorn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png,"['ground', 'rock']","['swords-dance', 'stomp', 'sand-attack', 'headbutt', 'horn-attack']"
111,rhydon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png,"['ground', 'rock']","['mega-punch', 'pay-day', 'fire-punch', 'ice-punch', 'thunder-punch']"
112,chansey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png,['normal'],"['pound', 'double-slap', 'mega-punch', 'fire-punch', 'ice-punch']"
113,tangela,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png,['grass'],"['swords-dance', 'cut', 'bind', 'slam', 'vine-whip']"
114,kangaskhan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png,['normal'],"['pound', 'comet-punch', 'mega-punch', 'fire-punch', 'ice-punch']"
115,horsea,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png,['water'],"['razor-wind', 'headbutt', 'take-down', 'double-edge', 'leer']"
116,seadra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png,['water'],"['headbutt', 'take-down', 'double-edge', 'leer', 'disable']"
117,goldeen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png,['water'],"['swords-dance', 'headbutt', 'horn-attack', 'fury-attack', 'horn-drill']"
118,seaking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png,['water'],"['swords-dance', 'headbutt', 'horn-attack', 'fury-attack', 'horn-drill']"
119,staryu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png,['water'],"['headbutt', 'tackle', 'take-down', 'double-edge', 'supersonic']"
120,starmie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png,"['water', 'psychic']","['headbutt', 'tackle', 'take-down', 'double-edge', 'water-gun']"
121,mr-mime,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png,"['psychic', 'fairy']","['pound', 'double-slap', 'mega-punch', 'fire-punch', 'ice-punch']"
122,scyther,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png,"['bug', 'flying']","['razor-wind', 'swords-dance', 'cut', 'wing-attack', 'headbutt']"
123,jynx,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png,"['ice', 'psychic']","['pound', 'double-slap', 'mega-punch', 'ice-punch', 'mega-kick']"
124,electabuzz,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png,['electric'],"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick']"
125,magmar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png,['fire'],"['mega-punch', 'fire-punch', 'thunder-punch', 'mega-kick', 'headbutt']"
126,pinsir,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png,['bug'],"['vice-grip', 'guillotine', 'swords-dance', 'cut', 'bind']"
127,tauros,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png,['normal'],"['stomp', 'headbutt', 'horn-attack', 'horn-drill', 'tackle']"
128,magikarp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png,['water'],"['tackle', 'hydro-pump', 'splash', 'flail', 'bounce']"
129,gyarados,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png,"['water', 'flying']","['bind', 'headbutt', 'tackle', 'body-slam', 'take-down']"
130,lapras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png,"['water', 'ice']","['headbutt', 'horn-drill', 'body-slam', 'take-down', 'double-edge']"
131,ditto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/132.png,['normal'],['transform']
132,eevee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png,['normal'],"['pay-day', 'double-kick', 'sand-attack', 'headbutt', 'tackle']"
133,vaporeon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/134.png,['water'],"['pay-day', 'double-kick', 'sand-attack', 'headbutt', 'tackle']"
134,jolteon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/135.png,['electric'],"['pay-day', 'double-kick', 'sand-attack', 'headbutt', 'tackle']"
135,flareon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png,['fire'],"['pay-day', 'double-kick', 'sand-attack', 'headbutt', 'tackle']"
136,porygon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png,['normal'],"['headbutt', 'tackle', 'take-down', 'double-edge', 'ice-beam']"
137,omanyte,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png,"['rock', 'water']","['bind', 'slam', 'sand-attack', 'headbutt', 'horn-attack']"
138,omastar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png,"['rock', 'water']","['bind', 'sand-attack', 'headbutt', 'horn-attack', 'horn-drill']"
139,kabuto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png,"['rock', 'water']","['scratch', 'sand-attack', 'headbutt', 'body-slam', 'take-down']"
140,kabutops,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png,"['rock', 'water']","['scratch', 'razor-wind', 'swords-dance', 'cut', 'mega-kick']"
